TaskId,Phase,Category,Title,EstimateHours,DependsOn,Status,Assignee,Description,Notes
T014,1,Migration,Write migration 0020 CREATE Lots.LotGenealogyClosure closure table,3,T011,NotStarted,,B4 closure table: AncestorLotId/DescendantLotId/Depth. Adjacency-list genealogy materialized as closure for fast subtree queries,
T015,1,Migration,Write migration 0020 CREATE split Lots.LotEventLog table,2,T011,NotStarted,,B7: dedicated high-volume Lots.LotEventLog split out of Audit.ConfigLog; Audit_LogOperation routes lot-scoped events here,
T016,1,Migration,Write migration 0020 partition functions + schemes on high-volume event tables,5,"T010,T015",NotStarted,,"OI-35 B2: partition functions+schemes (date/range sliding window) on ProductionEvent, ProductionEventValue, ConsumptionEvent, RejectEvent, LotEventLog. PartitionMaintenance script maintains windows",
T017,1,Migration,Write migration 0020 filtered indexes on event + lot tables,3,"T011,T012,T016",NotStarted,,OI-35 B8 filtered indexes (active/non-deprecated/in-process predicates). Includes IpAddress attribute index for Terminal_GetByIpAddress lookup,
T018,1,Migration,Write migration 0020 CREATE Parts.v_EffectiveItemLocation view,2,T010,NotStarted,,CREATE VIEW resolving effective item-at-location (item master x location attribute overrides). Read by Cell Context Selector + frontend,
T019,1,Seed,Seed Terminal + Cell LocationAttributeDefinition rows,2,,NotStarted,,"Terminal-tier: DefaultScreen, RequiresCompletionConfirm. Cell-tier: ConfirmationMethod, CoupledDownstreamCellLocationId. Also IpAddress attribute. XDEP: needs LocationTypeDefinition Terminal/Cell tiers from Arc 1",
T020,1,Seed,Seed IdentifierSequence + fallback Terminal Location rows,2,"T013,T019",NotStarted,,"IdentifierSequence seed: Lot MESL{0:D7}, SerializedItem MESI{0:D7} from S-10 cutover values. Plus fallback Terminal Location row for unresolved-IP sessions. ASCII-only; byte-scan before apply",
T021,1,StoredProc,Write Terminal_GetByIpAddress + Terminal_List procs,3,"T017,T019",NotStarted,,"Location.Terminal_GetByIpAddress (IpAddress attr index lookup, returns terminal + DefaultScreen + coupled cell), Location.Terminal_List. Read procs, no OUTPUT params, empty set = not found",
T022,1,StoredProc,Write AppUser initials/AD auth + roles procs,4,,NotStarted,,"Location.AppUser_GetByInitials, AppUser_AuthenticateAd, AppUser_GetRoles. Initials attribution + per-action AD elevation. XDEP: AppUser table from Arc 1",
T023,1,StoredProc,Write Oee Shift lifecycle procs,4,T010,NotStarted,,"Oee.Shift_Start, Shift_End, Shift_GetActive, Shift_GetOpen. Start/End are mutation procs (status-row pattern); GetActive/GetOpen read procs",
T024,1,StoredProc,Write Lots.IdentifierSequence_Next row-locked proc,2,"T013,T020",NotStarted,,"B6: row-locked (UPDLOCK/ROWLOCK) sequence increment, formats via template (MESL{0:D7}). Returns next identifier string. Called inside Lot_Create txn",
T025,1,StoredProc,Write Lots.Lot_Create proc with genealogy + closure,4,"T011,T014,T015,T024",NotStarted,,"Complex txn: insert Lot, call IdentifierSequence_Next, populate LotGenealogyClosure (B4) from parent lots, write LotEventLog via Audit_LogOperation, init materialized totals (B5). Mutation pattern",
T026,1,StoredProc,Write Lots.Lot_Get + Lot_List read procs,2,"T011,T018",NotStarted,,"Lots.Lot_Get (single, w/ resolved Tool/Cavity/Location names), Lot_List (filtered). Read procs, no OUTPUT params",
T027,1,StoredProc,Write Lots.Lot_UpdateStatus + Lot_MoveTo procs,4,"T012,T025",NotStarted,,Lot_UpdateStatus writes LotStatusHistory; Lot_MoveTo writes LotMovement + updates materialized totals (B5). Both call Audit_LogOperation. Mutation pattern,
T028,1,StoredProc,Write Lots.Lot_AssertNotBlocked guard proc,2,T011,NotStarted,,B2 guard: raises three-tier error if lot is on AIM/quality hold (BlocksProduction). Called by mutation procs before state transitions,
T029,1,StoredProc,Write Audit.Audit_LogOperation with LotEventLog routing,3,"T015,T012",NotStarted,,"B7: routes lot-scoped operation events to Lots.LotEventLog, others to Audit.ConfigLog. Emits no result set (runs inside mutation txns). Description convention SUBJECT MidDot CATEGORY MidDot ACTION",
T030,1,NamedQuery,Create Named Queries wrapping all Phase-1 procs,4,"T021,T022,T023,T024,T025,T026,T027,T028",NotStarted,,"One NQ folder+resource.json per proc. Mutation procs (Shift_Start/End, Lot_Create/UpdateStatus/MoveTo, IdentifierSequence_Next) need attributes.type=Query (status-row pattern); reads default. Run scan.ps1",
T031,1,GatewayScript,Write Terminal_ResolveFromSession gateway script,4,T021,NotStarted,,Resolves terminal identity from Perspective session (client IP) via Terminal_GetByIpAddress; falls back to fallback Terminal row. Sets session.custom terminal context (B11),
T032,1,GatewayScript,Write PresenceIdleWatcher Perspective-side script,5,T031,NotStarted,,Tracks last-interaction timestamp; drives 30-min idle re-confirm modal. Perspective session script. Pairs with Idle Re-Confirm Modal view,
T033,1,GatewayScript,Write ShiftBoundaryTicker 60s timer script,5,T023,NotStarted,,"Gateway timer (60s); detects shift boundary crossings, calls Shift_End/Shift_Start. XDEP: shift schedule seed (Arc 1)",
T034,1,GatewayScript,Write PartitionMaintenance 24h timer script,6,T016,NotStarted,,B2 sliding-window: 24h gateway timer; splits/merges/switches partitions on event tables to maintain retention window. OI-35 retention strategy,
T035,1,Frontend,Build Initials Entry view,4,T030,NotStarted,,Top-level Perspective view; numeric/initials keypad -> AppUser_GetByInitials. Operator attribution entry,
T036,1,Frontend,Build Terminal Selector view,4,"T030,T031",NotStarted,,Top-level view; lists terminals (Terminal_List) for manual override when IP resolve fails/ambiguous,
T037,1,Frontend,Build Cell Context Selector shared component,4,"T030,T018",NotStarted,,"Reusable embedded component; cascading cell/coupled-downstream selection, reads v_EffectiveItemLocation. Shared across plant-floor screens (B12)",
T038,1,Frontend,Build Home Router view,6,"T031,T035,T036,T037",NotStarted,,"Top-level entry router; resolves terminal -> DefaultScreen, gates on initials entry, routes to cell context (B11). Central plant-floor landing",
T039,1,Frontend,Build 30-Min Idle Re-Confirm Modal,3,T032,NotStarted,,Embedded modal; fires on PresenceIdleWatcher idle threshold; re-confirm initials to continue session,
T040,1,Frontend,Build Per-Mutation Initials Field component,4,T030,NotStarted,,Reusable embedded component; inline initials capture per protected mutation; validates via AppUser_GetByInitials. Page-scoped message to parent (B12),
T041,1,Frontend,Build Elevation Modal (per-action AD) component,5,T030,NotStarted,,Reusable embedded modal; AD username/password elevation for protected actions -> AppUser_AuthenticateAd + AppUser_GetRoles. Per-action elevation (FDS-04-007),
T042,1,Testing,Write Phase-1 suite test: terminal resolve,2,"T021,T031",NotStarted,,Foundation suite (renumbered). Terminal_GetByIpAddress + Terminal_List + fallback. INSERT-EXEC temp-table assert pattern,
T043,1,Testing,Write Phase-1 suite test: appuser/initials + AD auth,3,T022,NotStarted,,"AppUser_GetByInitials, AppUser_AuthenticateAd, AppUser_GetRoles assertions",
T044,1,Testing,Write Phase-1 suite test: shift lifecycle,3,T023,NotStarted,,Shift_Start/End/GetActive/GetOpen; boundary + double-open guard assertions,
T045,1,Testing,Write Phase-1 suite test: identifier sequence,2,T024,NotStarted,,IdentifierSequence_Next row-lock increment + format template; concurrency/no-gap assertions,
T046,1,Testing,Write Phase-1 suite test: lot create/move/status,4,"T025,T026,T027,T028",NotStarted,,Lot_Create/Get/List/UpdateStatus/MoveTo/AssertNotBlocked; history-table writes + materialized totals (B5) assertions,
T047,1,Testing,Write Phase-1 suite test: genealogy closure table,3,"T014,T025",NotStarted,,B4 LotGenealogyClosure ancestor/descendant/depth population on multi-parent lot create assertions,
T048,1,Testing,Write Phase-1 suite test: audit operation log + LotEventLog routing,3,"T029,T025,T027",NotStarted,,"Audit_LogOperation B7 routing (lot events -> LotEventLog, others -> ConfigLog); Description convention + JSON resolved-name FK assertions. Phase-1 gate. Suite target ~80-105 assertions",
T049,2,Migration,CREATE Lots.LotGenealogy + LotAttributeChange + LotLabel tables (0020),4,T048,NotStarted,,"B-2: these do NOT exist; Arc 1 made only Lots code tables, Phase 1 made Lot+StatusHistory+Movement. File 0021_arc2_phase2_lot_lifecycle.sql. LotGenealogy(ParentLotId,ChildLotId,RelationshipTypeId,PieceCount); LotAttributeChange(LotId,AttributeName,OldValue,NewValue,ChangedByUserId,TerminalLocationId,ChangedAt); LotLabel append-only. XDEP: Phase 1",
T050,2,Migration,CREATE Lots.PauseEvent table (FDS-05-038) with constraints + filtered indexes,3,T049,NotStarted,,"Same migration 0021. Append-only place+close lifecycle. CK_PauseEvent_ResumePaired; filtered UQ (LotId,LocationId) WHERE ResumedAt IS NULL; IX_PauseEvent_OpenByLocation",
T051,2,Migration,CREATE VIEW Lots.v_LotDerivedQuantities + genealogy indexes + LogEntityType row,2,T049,NotStarted,,"v_LotDerivedQuantities(LotId,TotalInProcess,InventoryAvailable) diagnostic fallback under OI-35 B5 materialized-columns default. Genealogy indexes only if not partition-covered by Phase 1. +Audit.LogEntityType PauseEvent row",
T052,2,Seed,Verify GenealogyRelationshipType/PrintReasonCode/LabelTypeCode code tables present,1,T049,NotStarted,,"Confirm Arc-1 code-table seeds exist; add any missing. S-08 Tools.DieRankCompatibility owed (TRUE BLOCKER w/ supervisor-override per FDS-04-007); empty seed OK for build, merge tests need rows",
T053,2,StoredProc,Lots.Lot_Update + Lot_UpdateAttribute (per-field LotAttributeChange + optimistic lock),3,T049,NotStarted,,XDEP: Phase 1 (Lot_AssertNotBlocked B2). Lot_Update writes LotAttributeChange; B5 InventoryAvailable recalc. Lot_UpdateAttribute used by Lot_Split to reduce parent piece count,
T054,2,StoredProc,Lots.Lot_Split (N-way split + genealogy + closure rows),4,"T049,T053",NotStarted,,"XDEP: Phase 1 (Lot_Create/UpdateStatus, B2). SPLIT LotGenealogy + LotGenealogyClosure (B4), reduce parent, close if residual=0. Multi-row output. Consumed by Phase 5 + 7",
T055,2,StoredProc,Lots.Lot_Merge (FDS-05-025..030 rules + die-rank gate + override),4,"T049,T052",NotStarted,,"XDEP: Phase 1. Consumes S-08 DieRankCompatibility (TRUE BLOCKER); cross-die merges reject until populated, supervisor AD override per FDS-04-007. Same Item, all Good, post-sort, no HoldxGood. Output NULL Tool/Cavity",
T056,2,StoredProc,Lots.LotGenealogy_RecordConsumption (consumption genealogy + closure),2,T049,NotStarted,,XDEP: consumed by Phase 5 Machining IN + Phase 6 Assembly. Closure rows per B4. Output status-row,
T057,2,StoredProc,Genealogy reads (GetGenealogyTree + GetParents + GetChildren + GetAttributeHistory),3,T049,NotStarted,,XDEP: OI-35 B4 (closure-table vs recursive CTE MAXRECURSION 100). B8 depth bound 100 = business-rule violation. GetAttributeHistory unions LotAttributeChange+StatusHistory+Movement,
T058,2,StoredProc,Lots.LotLabel_Print + LotLabel_Reprint,2,T049,NotStarted,,Append-only. Print returns ZplContent; Reprint forces PrintReasonCode. Gateway ZPL dispatch is later-phase (B6/B17); no new gateway script in Phase 2,
T059,2,StoredProc,LOT pause lifecycle procs (Place/Resume/GetByLocation/GetCountsByLocation),3,T050,NotStarted,,Place enforces open-event invariant B3 (filtered UNIQUE) + Lot_AssertNotBlocked; Resume rejects already-resumed; resumer MAY differ from pauser. No TTL/auto-resume,
T060,2,NamedQuery,Named Queries wrapping all Phase-2 procs,3,"T053,T054,T055,T056,T057,T058,T059",NotStarted,,Mutation procs (status-row SELECT) MUST set attributes.type=Query (UpdateQuery throws). Run scan.ps1 after,
T061,2,Frontend,LOT Detail top-level view (@LotId naturally-parametric B12),10,T060,NotStarted,,"XDEP: Phase 1 (Lot_Get). One LOT Detail across whole plant, no per-station variants. Flex Repeater for history/genealogy cards. Pre-declare bound custom props; atomic state writes; ConfirmUnsaved on dirty edits",
T062,2,Frontend,LOT Search top-level view (filter-driven),6,T060,NotStarted,,XDEP: Phase 1 (Lot_List). Explicit Apply/Reset; TOP-cap + TotalCount window. ia.display.table onSelectionChange row-click -> LOT Detail,
T063,2,Frontend,Genealogy Viewer top-level view (@LotId),8,T060,NotStarted,,Flex Repeater ancestor/descendant cards (B12). Verify mpp/ icon paths against mpp.svg before use,
T064,2,Frontend,Paused-LOT Indicator component + tap-through detail list,5,T060,NotStarted,,Badge count from GetCountsByLocation; list from GetByLocation. Reused on every workstation view (B12). Page-scoped messages embed->parent. Resume via LotPause_Resume,
T065,2,Testing,Test 010 Lot_Update (field audit + row-version + blocked + B5 recalc),3,T053,NotStarted,,Suite renumbered 0020. INSERT-EXEC temp-table assert; dynamic location lookups (no seed-coupled hardcodes),
T066,2,Testing,Test 020 Lot_Split (N-way + sum-exceeds reject + closure rows + parent close),3,T054,NotStarted,,Assert LotGenealogy + LotGenealogyClosure rows; parent residual=0 -> Closed,
T067,2,Testing,Test 030 Lot_Merge (same/cross-die compat + override + NULL Tool/Cavity),4,T055,NotStarted,,Seeds DieRankCompatibility rows locally for compat cases (S-08 escape). Covers FDS-04-007 override branch,
T068,2,Testing,Test 040 LotGenealogy_RecordConsumption (+ multi-source),2,T056,NotStarted,,,
T069,2,Testing,Test 050 Lot_GetGenealogyTree (Ancestors/Descendants/Both + depth bound + closure-vs-CTE),3,T057,NotStarted,,XDEP: OI-35 B4 equivalence test only when closure elected,
T070,2,Testing,Test 060 LotPause lifecycle (place/resume + double-place reject + open-event invariant),3,T059,NotStarted,,"Assert ResumedAt IS NULL after Place, IS NOT NULL after Resume (B9)",
T071,2,Testing,Test 065 LotPause indicator (counts + ordered list),2,T059,NotStarted,,,
T072,2,Testing,Test 070 Label print/reprint (initial + reason + ZPL render),2,T058,NotStarted,,Phase-2 gate. Suite 0020 target 90-120 assertions,
T073,3,Migration,Create 0022_arc2_phase3_die_cast.sql migration shell (no new tables),1,T072,NotStarted,,"XDEP: Phase 1, Phase 2. CORRECTED number 0021 not 0016. SchemaVersion row + idempotent guards; section markers for seeds below",
T074,3,Seed,Seed Parts.OperationTemplate DieCastShot (Draft->Published),2,T073,NotStarted,,Versioned entity; three-state. ASCII-only Name/Description,
T075,3,Seed,Seed DieCastShot data-collection fields (DieInfo/CavityInfo/Weight/Good/Bad/ShotCount),2,T074,NotStarted,,OperationTemplate field/value-definition child rows; code-table backed types; ordering via up/down rank not drag,
T076,3,Seed,Seed Audit.LogEventType rows DieCastCheckpointRecorded + RejectEventRecorded,1,T073,NotStarted,,ASCII-only; idempotent MERGE/IF NOT EXISTS,
T077,3,StoredProc,Workorder.ProductionEvent_Record (checkpoint shape + cumulative counters + value rows),4,T075,NotStarted,,"LAG-delta cumulative counters; warm-up shots -> DowntimeEvent Setup; materialize TotalInProcess/InventoryAvailable per OI-35 B5; ScrapSource discriminator FDS-06-023a; emits DieCastCheckpointRecorded; @Status/@Message/@NewId locals, no OUTPUT",
T078,3,StoredProc,Workorder.RejectEvent_Record (per defect code S-03),3,T076,NotStarted,,Transactional; writes reject rows + RejectEventRecorded audit; updates ScrapCount/materialized inventory; status-row pattern,
T079,3,StoredProc,Tools.ToolAssignment_ListActiveByCell (active mounted tool lookup),1,T073,NotStarted,,Read proc; empty result = none; no OUTPUT,
T080,3,StoredProc,Tools.ToolCavity_ListActiveByTool (active cavities for mounted tool),1,T079,NotStarted,,Read proc; feeds cavity/item selection in LOT entry view,
T081,3,NamedQuery,Wrap Phase-3 procs as Named Queries,2,"T077,T078,T079,T080",NotStarted,,Mutation procs (Record) need attributes.type=Query; List procs default. Run scan.ps1,
T082,3,GatewayScript,"DieCastCycleReader gateway script (per-press PLC CycleComplete edge, OPTIONAL)",6,T081,NotStarted,,Edge-detect CycleComplete OPC tag per press via TOPServer; dispatch ProductionEvent_Record checkpoint; async; log to Audit.InterfaceLog; feature-flagged,
T083,3,Frontend,Die Cast LOT Entry view (purpose-built top-level),10,T081,NotStarted,,Scan LTT -> auto-populate mounted Tool -> cavity/item select -> eligibility+max-lot-size validate -> write ProductionEvent. No Initial LTT print at Die Cast. Routes to Phase 2 LOT Detail. Pre-declare bound custom props,
T084,3,Frontend,Reject Entry embedded component (per-defect-code capture),4,T083,NotStarted,,Embed; page-scoped message to parent for reject submit; defect code picker from seeded codes; input-only params,
T085,3,Frontend,Checkpoint summary embedded component (cumulative counters readback),3,T083,NotStarted,,Embed reads materialized totals; StateBadge-style guards for unselected state,
T086,3,Testing,Phase-3 test suite (checkpoint/LAG-delta + reject + tool/cavity + eligibility/max-lot),4,"T077,T078,T079,T080",NotStarted,,"Phase-3 gate. ~50-70 assertions. INSERT-EXEC temp tables; assert cumulative deltas, warm-up->Setup downtime, ScrapSource discriminator, eligibility+max-lot rejection",
T087,4,Migration,Migration 0023_arc2_phase4_movement_trim_receiving.sql (OperationTemplate + LogEventType seeds),2,"T048,T086",NotStarted,,"XDEP: Phase 1, Phase 3. No new tables, NO RequiresSubLotSplit ALTER (relocated to Phase 5/0023). Seeds OperationTemplate {TrimIn,TrimOut,ReceivingScan} + LogEventType {LotMoved,TrimCheckpointRecorded,TrimOutRecorded,ReceivingScanRecorded}",
T088,4,StoredProc,Parts.ItemLocation_CheckEligibility (fronts every scan-in),2,T087,NotStarted,,"Reads v_EffectiveItemLocation (direct  U  BOM-derived). Returns eligible/ineligible + reason. Read-only check, no audit write",
T089,4,StoredProc,Parts.Item_GetMaxParts read proc,1,T087,NotStarted,,Returns MaxParts per item for capacity validation on scan-in,
T090,4,StoredProc,Lots.Lot_GetCellLineQuantity (LinesideLimit cap read),1,T087,NotStarted,,Returns current cell/line on-hand qty for LinesideLimit cap enforcement,
T091,4,StoredProc,Lots.Lot_GetWipQueueByLocation read proc,1,T087,NotStarted,,FIFO WIP queue read for a location (Trim Station IN pick list),
T092,4,StoredProc,Workorder.TrimOut_Record (ProductionEvent + whole-LOT 1:1 LotMovement),3,T087,NotStarted,,"Whole-LOT 1:1 LotMovement to destination Machining line at Area resolution, NO split. Audit TrimOutRecorded. Status-row pattern",
T093,4,NamedQuery,Named Queries wrapping all Phase-4 procs,2,"T088,T089,T090,T091,T092",NotStarted,,Mutation procs (TrimOut_Record) get attributes.type=Query. Read NQs default. Run scan.ps1,
T094,4,GatewayScript,LttZplDispatcher gateway message handler,5,T087,NotStarted,,Message handler: renders LTT ZPL -> Zebra socket per B6. ASCII-only ZPL. Logs dispatch to Audit.InterfaceLog,
T095,4,Frontend,Movement Scan embedded component (cross-cutting reusable),5,T093,NotStarted,,Reused by Trim/Receiving + later phases. Calls ItemLocation_CheckEligibility before accept; enforces MaxParts + LinesideLimit. Input-only itemId param; page-scoped replies,
T096,4,Frontend,Trim Station IN top-level view (FIFO pick / scan),8,"T093,T095",NotStarted,,FIFO pick from Lot_GetWipQueueByLocation or scan; LotMovement to Trim Shop Area. Embeds Movement Scan. Routes to Phase 2 LOT Detail,
T097,4,Frontend,Trim Station OUT top-level view (whole-LOT move + weight estimate),9,"T093,T095",NotStarted,,TrimOut_Record; weight-based piece-count estimation (FDS-06-005) accept/keep -> LotAttributeChange non-blocking. Embeds Movement Scan,
T098,4,Frontend,Receiving Dock top-level view (pass-through scan),6,"T093,T095",NotStarted,,Pass-through scan; LotMovement + ReceivingScanRecorded. Embeds Movement Scan,
T099,4,Testing,Phase-4 proc test suite,4,"T088,T089,T090,T091,T092",NotStarted,,"Phase-4 gate. ~55-75 assertions: eligibility (direct  U  BOM), max-parts + lineside caps, trim-out whole-move 1:1, wip queue, movement. Split tests NOT here (Phase 5)",
T100,5,Migration,0024_arc2_phase5_machining.sql - ALTER OperationTemplate ADD RequiresSubLotSplit,2,T099,NotStarted,,"CORRECTED number 0023 (NOT 0018 - 0018 is shipped Arc-1 tooltype). Column relocated here from Phase 4. XDEP: Phase 1, Phase 2, Phase 3, Phase 4",
T101,5,Seed,Seed OperationTemplate MachiningIn + MachiningOut,1,T100,NotStarted,,Doc-fix note (NOT a build task): DM still describes RequiresSubLotSplit under Trim OUT - relocate in data model at next bump,
T102,5,Seed,Seed Audit.LogEventType (MachiningInPicked/OutCompleted/OutAutoMoved/OutSubLotSplit),1,T100,NotStarted,,,
T103,5,StoredProc,Workorder.MachiningIn_PickAndConsume (FIFO pick + BOM-driven Trim->Machining rename),4,T101,NotStarted,,ConsumptionEvent (Consumed=trim Produced=machined) + LotGenealogy Consumption edge + new machined-LOT create. Transactional. Audit MachiningInPicked. XDEP: Phase 2 RecordConsumption,
T104,5,StoredProc,Workorder.MachiningOut_AutoComplete (PLC OperationComplete -> auto-move whole LOT),3,T101,NotStarted,,ProductionEvent + auto-move whole LOT to CoupledDownstreamCellLocationId (non-sublotting lines). Audit OutCompleted + OutAutoMoved. No operator screen these lines,
T105,5,StoredProc,Workorder.MachiningOut_RecordSplit (operator-initiated N-way even split),4,T101,NotStarted,,"Fresh LTT per child via IdentifierSequence_Next, LotGenealogy Split edges, moves, child labels, parent decrement/close. Uneven adjust per FDS-05-010. PENDING UJ-03 even-split default. XDEP: Phase 2 Lot_Split",
T106,5,GatewayScript,MachiningOpCompleteWatcher (per-Cell PLC OperationComplete edge),7,T104,NotStarted,,TOPServer edge -> MachiningOut_AutoComplete (non-sublotting auto-complete),
T107,5,GatewayScript,MachiningCycleReader (optional per-Cell PLC CycleComplete),6,,NotStarted,,Optional per FRS. XDEP: TOPServer tag config (S-04),
T108,5,NamedQuery,Named Queries wrapping Phase-5 procs,2,"T103,T104,T105",NotStarted,,Mutation NQs need attributes.type=Query (status-row). Run scan.ps1,
T109,5,Frontend,Cell Selector Repeater Entity (cross-cutting embedded),4,T108,NotStarted,,Destination/cell picker reused by IN and OUT-Split screens (B12),
T110,5,Frontend,BOM-Driven Rename Confirmation Modal (cross-cutting embedded),4,T108,NotStarted,,Shows Trim->Machining 1-line BOM rename before consume-commit,
T111,5,Frontend,Machining IN view (purpose-built top-level),9,"T108,T109,T110",NotStarted,,"FIFO queue list w/ override + scan, invokes PickAndConsume",
T112,5,Frontend,"Machining OUT Split view (top-level, sublotting lines only)",9,"T108,T109",NotStarted,,"N-way even-split entry + destination-picker Flex Repeater rendering N pickers per child (B12), invokes RecordSplit",
T113,5,Testing,Phase-5 proc test suite,4,"T103,T104,T105",NotStarted,,"Phase-5 gate. ~80-110 assertions: machining-in pick+rename+consumption, auto-complete+auto-move, sub-LOT split (even+uneven), genealogy permanence, FIFO ordering",
