TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-PLC-110,FDS-10-005,Vision line-stop,TrayLocked already fired for the front LOT,Fire InspectionComplete with a VisionPartNumber matching the expected recipe,"OkToContinue=1 (tray released) and the ByVision tray close runs through Assembly_CompleteTray (mints the FG LOT + consumes BOM)",,,,Simulator-validated
FAT-PLC-120,FDS-10-009,Consecutive-fail escalation,A tray-inspection cell,Drive 10 consecutive vision-mismatch failures at the cell and confirm the escalation behaviour,"On the 10th consecutive fail the line leader is auto-escalated (LeaderEscalationFlagged), a supervisor-dashboard badge fires, supervisor AD elevation (FDS-04-007) is required to resume, and the counter resets on the next pass",,,,"NOT YET WIRED — the consecutive-fail counter, LeaderEscalationFlagged event, supervisor-resume gate, and the LineStopConsecutiveFailThreshold LocationAttribute are a commissioning fill-in. Today each mismatch records an independent line-stop with no cross-cycle counter"
FAT-PLC-130,FDS-10-010,Failure-type branching,A tray-inspection cell,Exercise each failure type and confirm the branch,"Wrong-part (vision != operator) flags the leader immediately; wrong-orientation stops but does not escalate; PartDisposition fail counts toward the 10-fail threshold; barcode mis-scan does not stop the line",,,,"NOT YET WIRED — failure-type branching is not implemented; the watcher records a uniform vision-mismatch line-stop. Commissioning fill-in"
FAT-PLC-140,FDS-10-011,Hold release path,A LOT is on Hold,"As a Quality-role user, AD-elevate (FDS-04-007) and release the hold via the Quality hold screen",The HoldEvent row closes (ReleasedAt set) and the LOT's LotStatusCode returns to Good (Hold_Release),,,,Witnessable directly in the Quality hold UI
FAT-PLC-150,FDS-10-011,Hold release path,A LOT is on Hold; logged in as an operator without elevation,Attempt to release the hold directly,Release is blocked — operators cannot release holds; the action is elevation-gated,,,,
FAT-PLC-160,FDS-10-012,CRT workflow,A LOT is on Hold,Release the hold as Quality with a Controlled Run Tag disposition,"The hold closes, LotStatusCode returns to Good, and Lot.CrtActive is set to 1; the next downstream operation screen forces the 200% double-capture",,,,"CRT activate/clear procs built; the 200%-inspect double-capture is view-enforced off getRequiredInspections (not proc-gated) in v1"
FAT-PLC-170,FDS-10-012,CRT workflow,A CRT-active LOT (CrtActive=1) reaches its next operation,Complete the forced 200% inspection (or skip it),"On completion CrtActive clears (Lot_ClearCrt, supervisor-elevated) with a CrtCompleted result; if the CRT run passed through un-inspected the LOT is flagged for re-run with a MissedCrtInspect hold",,,,
FAT-PLC-180,FDS-10-006,Scale reads,"A ScaleStation instance mapped to an assembly terminal; Sim Panel open",Seed a net weight with MetFlag=False and fire NET_DataReady,"The watcher reads NET_NetWeightValue / UOM / TargetWeightMetFlag, acknowledges NET_DataReady, and logs the weigh to Audit.InterfaceLog; no container close occurs",,,,"Simulator-validated; raw-weight persistence (a ProductionEvent/QualitySample) is a commissioning fill-in — weight is captured in the InterfaceLog payload only"
FAT-PLC-190,FDS-10-006,Scale reads,ScaleStation device selected in the Sim Panel,Fire NET_DataReady with MetFlag=True,"The scale is coupled to container completion — a ByWeight tray close runs through Assembly_CompleteTray at the configured ByWeight piece count; the container auto-completes (AIM + label) when full",,,,Simulator-validated
FAT-PLC-200,FDS-10-007,Barcode scan validation,A plant-floor screen with an active LTT input field,Scan a valid LTT barcode with the terminal's keyboard-wedge scanner,"Scan data is injected as keystrokes into the active field (no custom driver); on submit the server validates the LTT format (9-digit + checksum, ufn_IsValidExternalLtt) and accepts it",,,,Witnessable directly; keyboard-wedge behaviour is client-side plus server-side format validation
FAT-PLC-210,FDS-10-007,Barcode scan validation,A plant-floor screen with an active LTT input field,Scan a malformed / wrong-format barcode,Server-side format validation rejects the scan with an operator toast; no LOT action is taken,,,,
FAT-PLC-220,FDS-10-013,Confirmation method,A PLC-integrated assembly Cell,Inspect the Cell's ConfirmationMethod LocationAttribute,"The attribute is seeded and readable with an allowed value (Vision / Barcode / Both) declaring which source(s) confirm part identity",,,,
FAT-PLC-230,FDS-10-013,Confirmation method,A Cell whose ConfirmationMethod = Both,Present a vision read and a barcode read that disagree on part identity,"The production event does not record until both sources agree; the mismatch counts toward the line-stop threshold, and a supervisor-elevated manual override logs HardwareInterlockBypassed on the ContainerSerial",,,,"Attribute is seeded and read by the proc/UI; the full Both-reconcile enforcement + override path mirrors the FDS-10-005 line-stop and is partly a commissioning fill-in"
